Date, Import OAI-PMH, Import HTTP, Validate EDM External, Transformation, Validate EDM Internal, Normalization, Enrichment, Media Processing, Index to Preview, Index to Publish
2022-10-10, 3398, 471, 3755, 3755, 3755, 3755, 3755, 3740, 3840, 3550
2022-10-11, 0, 628, 514, 157, 157, 157, 157, 152, 152, 152
2022-10-14, 0, 0, 0, 0, 0, 157, 0, 0, 0, 0
2022-10-18, 0, 157, 157, 157, 157, 157, 157, 152, 152, 152
2022-10-19, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0
2022-10-20, 0, 157, 157, 157, 157, 157, 157, 152, 152, 152
2022-10-21, 21, 0, 21, 21, 21, 21, 21, 21, 21, 21
2022-10-24, 0, 9, 9, 6, 6, 6, 6, 6, 6, 6
2022-10-25, 0, 157, 314, 157, 157, 157, 157, 152, 152, 152
2022-11-08, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7
2022-11-09, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
2022-11-10, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7
2022-11-15, 0, 0, 0, 0, 0, 0, 0, 0, 14, 14
2022-11-22, 3398, 157, 3555, 3555, 3555, 3555, 3555, 3550, 3550, 3550
2022-12-06, 3398, 0, 3398, 3398, 3398, 3398, 3398, 3398, 3398, 3398
2022-12-20, 0, 157, 157, 157, 157, 157, 157, 152, 0, 0
2022-12-22, 3398, 0, 3398, 3398, 3398, 3398, 3398, 3398, 3398, 3398
2022-12-23, 0, 0, 0, 0, 0, 3558, 0, 0, 0, 0
