2023-01-02 00:00:00,Total,High Quality
Netherlands,10082949,3667325
Germany,6859354,4705815
United Kingdom,6485926,3601090
Spain,5148615,1399972
France,4956527,1879417
Sweden,4530355,2272805
Poland,3950774,1325973
Norway,3656701,453381
Austria,2735489,1256641
Belgium,2675867,2200229
Italy,2436837,844105
Denmark,1541324,317511
Czech Republic,1370114,625064
Finland,1150175,1008868
Hungary,1065832,765592
Estonia,993576,595573
Greece,682973,446997
Europe,561512,222643
Slovenia,512282,393925
Israel,412227,397128
Lithuania,404320,355621
United States of America,325810,21690
Portugal,166861,87617
Romania,151478,23434
Bulgaria,151406,111521
Latvia,121927,113009
Croatia,106803,6143
Ireland,105817,32769
Switzerland,96321,50692
Serbia,82655,74986
Luxembourg,65601,1319
Cyprus,62733,39100
Malta,53164,1121
Slovakia,31365,13943
Russia,14534,28
Iceland,9970,1365
Moldova,4300,0
Turkey,3097,1393
Ukraine,2918,2874
Belarus,2092,2092
North Macedonia,347,5
Albania,300,0
Montenegro,82,82
Georgia,34,34
Azerbaijan,27,27
Bosnia and Herzegovina,27,0
