2024-01-08 00:00:00,Total,High Quality
Netherlands,9614816,3982115
Germany,6674735,4749403
United Kingdom,5748234,3928476
Spain,5013583,2210742
France,4899847,1972676
Sweden,4726719,2476667
Poland,3862023,1338138
Norway,3656765,453445
Austria,2724935,1295170
Belgium,2691085,2229818
Italy,1887881,597889
Denmark,1541324,317514
Czech Republic,1360517,621960
Finland,1166425,1023407
Estonia,853731,590140
Hungary,681589,497479
Greece,667303,469690
Lithuania,635286,599781
Europe,528416,233820
Slovenia,483426,400159
Romania,465985,340208
Israel,404506,397129
United States of America,318511,21529
Bulgaria,187796,149365
Croatia,180205,130617
Portugal,163150,87617
Ireland,119799,46758
Latvia,115885,112750
Switzerland,89507,45705
Serbia,84612,76693
Luxembourg,65803,1521
Cyprus,57346,39090
Malta,53164,1121
Slovakia,31437,14046
Russia,14534,28
Iceland,8533,756
Moldova,4300,0
Turkey,3171,2601
Ukraine,2886,2843
Belarus,1728,1717
Albania,1027,722
North Macedonia,347,5
Montenegro,82,82
Georgia,34,34
Azerbaijan,27,27
Bosnia and Herzegovina,27,0
