2023-05-09 00:00:00,Total,High Quality
Netherlands,9948675,3672388
Germany,6664800,4699391
United Kingdom,5763224,3846944
Spain,4966803,2121291
France,4959506,1881152
Sweden,4682089,2443209
Poland,3963102,1337868
Norway,3656701,453381
Austria,2743856,1275696
Belgium,2665590,2200229
Italy,2158990,595867
Denmark,1541324,317514
Czech Republic,1370114,625064
Hungary,1171282,839736
Finland,1154982,1013663
Estonia,888811,591893
Greece,688048,451703
Europe,526371,227396
Slovenia,516715,398507
Lithuania,473280,414932
Israel,404505,397128
United States of America,318783,21529
Croatia,227890,126645
Romania,188531,60421
Portugal,165846,87617
Bulgaria,151406,111521
Latvia,121927,113009
Ireland,108669,35621
Switzerland,96221,50692
Serbia,84619,76700
Luxembourg,65601,1319
Cyprus,62733,39100
Malta,53164,1121
Slovakia,31470,14045
Russia,14534,28
Iceland,9970,1365
Moldova,4300,0
Turkey,3196,1492
Ukraine,2886,2843
Belarus,2092,2092
Albania,1027,722
North Macedonia,347,5
Montenegro,82,82
Georgia,34,34
Azerbaijan,27,27
Bosnia and Herzegovina,27,0
