2021-02-01 00:00:00,Total,High Quality
Austria,2372357,1106942
Belgium,2499646,2247432
Bulgaria,94447,62647
Croatia,67357,5456
Cyprus,30959,1858
Czech Republic,881263,369602
Denmark,1032422,662712
Estonia,648205,486024
Finland,1093297,960899
France,3860232,1779567
Germany,5536786,4107742
Greece,661593,383327
Hungary,732033,571425
Ireland,86765,44424
Italy,2150207,687421
Latvia,128505,113341
Lithuania,224359,182337
Luxembourg,65600,1325
Malta,50310,1006
Netherlands,9126499,7554003
Poland,3040221,936996
Portugal,203044,138963
Romania,135213,84549
Slovakia,15106,453
Slovenia,598310,382081
Spain,2960596,1228351
Sweden,4307321,3047430
