2024-04-03 00:00:00,Total,High Quality
Netherlands,10040828,4423615
Germany,6634382,4708549
United Kingdom,5828389,4313503
Spain,5182876,2341847
France,4899863,1972692
Sweden,4629117,2423495
Poland,3850357,1338107
Norway,3656765,453445
Austria,2724935,1295170
Belgium,2690409,2230105
Italy,1864668,597674
Denmark,1529057,317376
Czech Republic,1352247,621960
Finland,1166427,1023409
Estonia,85372,590141
Greece,667643,472839
Lithuania,622378,592575
Hungary,620115,483323
Europe,492639,233820
Slovenia,483428,400161
Romania,463977,338205
Israel,404506,397129
United States of America,318511,21529
Croatia,180206,130618
Bulgaria,168916,146712
Portugal,163150,87617
Ireland,120145,47104
Latvia,115886,112751
Switzerland,89507,45705
Serbia,84612,76693
Luxembourg,65803,1521
Cyprus,57376,39117
Malta,53165,1122
Slovakia,31438,14047
Russia,14469,28
Iceland,8533,756
Moldova,4300,0
Turkey,3171,2601
Belarus,1728,1717
Ukraine,1403,1362
Albania,1027,722
North Macedonia,347,5
Montenegro,82,82
Georgia,34,34
Azerbaijan,27,27
Bosnia and Herzegovina,27,0
