2023-02-01 00:00:00,Total,High Quality
Netherlands,9977537,3667325
Germany,6859632,4706093
United Kingdom,5808402,3867376
Spain,5520467,1739556
France,4960017,1881151
Sweden,4530473,2272921
Poland,3950774,1325973
Norway,3656701,453381
Austria,2734297,1256641
Belgium,2665590,2200229
Italy,2373275,798298
Denmark,1541324,317511
Czech Republic,1370114,625064
Hungary,1171282,839736
Finland,1154982,1013663
Estonia,993576,595573
Greece,682561,446997
Europe,561513,222644
Slovenia,512254,393925
Lithuania,434752,385820
Israel,404505,397128
United States of America,325810,21690
Portugal,166861,87617
Romania,151478,23434
Bulgaria,151406,111521
Latvia,121927,113009
Croatia,106760,6100
Ireland,105817,32769
Switzerland,96321,50692
Serbia,82655,74986
Luxembourg,65601,1319
Cyprus,62733,39100
Malta,53164,1121
Slovakia,31470,14045
Russia,14534,28
Iceland,9970,1365
Moldova,4300,0
Turkey,3097,1393
Ukraine,2918,2874
Belarus,2092,2092
North Macedonia,347,5
Albania,300,0
Montenegro,82,82
Georgia,34,34
Azerbaijan,27,27
Bosnia and Herzegovina,27,0
