2023-12-04T00:00:00.000Z,Total,High Quality
Netherlands,"9,407,111","3,757,844"
Germany,"6,674,735","4,749,403"
United Kingdom,"5,533,068","3,713,446"
Spain,"5,006,536","2,210,742"
France,"4,895,822","1,949,963"
Sweden,"4,726,719","2,476,667"
Poland,"3,862,023","1,338,138"
Norway,"3,656,765","453,445"
Austria,"2,724,935","1,295,170"
Belgium,"2,691,087","2,229,819"
Italy,"1,887,881","597,889"
Denmark,"1,541,324","317,514"
Czech Republic,"1,360,517","621,960"
Finland,"1,161,739","1,020,385"
Estonia,"853,731","590,140"
Hungary,"681,589","497,479"
Greece,"667,303","469,690"
Lithuania,"635,286","599,781"
Europe,"528,416","233,820"
Slovenia,"483,426","400,159"
Romania,"465,985","340,208"
Israel,"404,506","397,129"
United States of America,"318,511","21,529"
Bulgaria,"187,796","149,365"
Croatia,"180,205","130,617"
Portugal,"163,150","87,617"
Ireland,"119,799","46,758"
Latvia,"115,885","112,750"
Switzerland,"89,507","45,705"
Serbia,"84,619","76,700"
Luxembourg,"65,803","1,521"
Cyprus,"57,346","39,090"
Malta,"53,164","1,121"
Slovakia,"31,437","14,046"
Russia,"14,534",28
Iceland,"8,533",756
Moldova,"4,300",0
Turkey,"3,171","2,601"
Ukraine,"2,886","2,843"
Belarus,"1,728","1,717"
Albania,"1,027",722
North Macedonia,347,5
Montenegro,82,82
Georgia,34,34
Azerbaijan,27,27
Bosnia and Herzegovina,27,0
