2023-06-02 00:00:00,Total,High Quality
Netherlands,9948674,3672388
Germany,6664801,4699429
United Kingdom,5734660,3822716
France,4983684,1904320
Spain,4941553,2121291
Sweden,4684556,2445185
Poland,3929407,1393428
Norway,3656701,453381
Austria,2754937,1286465
Belgium,2665590,2200229
Italy,1949092,597796
Denmark,1541324,317514
Czech Republic,1370088,625044
Hungary,1171094,839636
Finland,1154982,1013663
Estonia,888794,591892
Greece,688066,454900
Europe,525713,226762
Slovenia,516715,398507
Lithuania,473218,414879
Israel,404505,397128
United States of America,318783,21529
Romania,238461,110354
Croatia,179130,129550
Portugal,165846,87617
Bulgaria,151406,111521
Latvia,121879,112977
Ireland,119076,46001
Switzerland,96221,50692
Serbia,84619,76700
Luxembourg,65601,1319
Cyprus,62733,39100
Malta,53164,1121
Slovakia,31470,14045
Russia,14534,28
Iceland,9970,1365
Moldova,4300,0
Turkey,3196,1492
Ukraine,2886,2843
Belarus,2092,2092
Albania,1027,722
North Macedonia,347,5
Montenegro,82,82
Georgia,34,34
Azerbaijan,27,27
Bosnia and Herzegovina,27,0
