2024-02-02 00:00:00,Total,High Quality
Netherlands,9838476,4423587
Germany,6621405,4696762
United Kingdom,6097102,4396721
Spain,5053900,2249201
France,4899847,1972676
Sweden,4629116,2423494
Poland,3850357,1338107
Norway,3656765,453445
Austria,2724935,1295170
Belgium,2691085,2229818
Italy,1864628,597634
Denmark,1529057,317376
Czech Republic,1352247,621960
Finland,1166425,1023407
Estonia,853731,590140
Hungary,717379,529095
Greece,667303,469690
Lithuania,593890,564120
Europe,492639,233820
Slovenia,483427,400160
Romania,463977,338205
Israel,404506,397129
United States of America,318511,21529
Croatia,180205,130617
Bulgaria,168915,146711
Portugal,163150,87617
Ireland,119799,46758
Latvia,115886,112751
Switzerland,89507,45705
Serbia,84612,76693
Luxembourg,65803,1521
Cyprus,57346,39090
Malta,53165,1122
Slovakia,31437,14046
Russia,14469,28
Iceland,8533,756
Moldova,4300,0
Turkey,3171,2601
Belarus,1728,1717
Ukraine,1403,1362
Albania,1027,722
North Macedonia,347,5
Montenegro,82,82
Georgia,34,34
Azerbaijan,27,27
Bosnia and Herzegovina,27,0
